,team,matches,points
1,Arsenal,14,33
12,Liverpool,14,31
15,Man City,14,30
16,Aston Villa,14,29
14,Tottenham,14,27
6,Newcastle,14,26
9,Man United,14,24
3,Brighton,14,22
17,West Ham,14,21
8,Chelsea,14,19
7,Brentford,14,19
4,Everton,14,17
18,Crystal Palace,14,16
11,Fulham,14,15
13,Wolves,14,15
2,Bournemouth,14,13
10,Nott'm Forest,14,13
19,Luton,14,9
0,Burnley,14,7
5,Sheffield United,14,5
